,r_mopac_Alpha_LUMO_Energy,r_mopac_Alpha_SOMO_Energy,r_mopac_Dipole_X,r_mopac_Dipole_Y,r_mopac_Dipole_Z,i_desc_Chirality_count,PBF,PMI1,PMI2,FEBc,grupo
63,-2.742,-11.429,-5.8120169318243,-3.60274895860492,-14.3705414424507,2,1.12962580788932,5638.21415894797,7092.1388638192,-11.6,0
64,-4.099,-9.55,-6.63896245186396,-34.648136332067,-18.9165344354071,2,1.07289233360304,4977.55432388701,7242.55101112787,-12.2,1
65,-2.906,-11.202,1.0634236285789,-2.35385882006972,-11.8453682831427,2,0.906251184155378,5113.0112442837,7835.4737455534,-8.5,0
66,-2.683,-10.901,2.81163648649809,1.37413724053272,-8.02688763580821,0,1.38707758318032,5771.56153312484,8484.50784547467,-5.3,0
68,-2.404,-10.043,2.08369630340559,22.1528576907605,-5.26161342988878,0,0.996747136006726,4955.80448190802,9061.37736021661,-11.3,0
69,-3.991,-9.591,17.0748070006784,29.4611948306509,23.9808788259337,1,1.22530635872107,4899.09956007796,8543.00698620424,-7.7,1
72,-2.903,-11.07,2.18589724747343,-2.03814863718659,8.31869887223928,1,1.02778739179557,4673.23165331756,6978.30997375244,-10.7,0
73,-2.399,-10.597,-5.21264451712356,-14.0545738046703,-7.20229609907267,2,1.04112798211329,4160.67552208349,18137.3023915081,-8.2,0
75,-4.202,-10.25,-1.06255615194931,-35.9621340169788,-23.8395810950234,2,1.24293491437099,4897.01755875227,7134.25345331981,-11.8,1
76,-4.118,-9.462,-3.08903443644928,31.6070729859081,28.9558964698528,3,0.914468861553597,5197.42246549964,7143.64034087174,-11.7,1
77,-4.015,-9.503,9.7643555569788,32.983743884694,-6.84838143283193,1,0.842627716328645,5451.73520076101,7942.05568727615,-9.7,1
78,-3.965,-9.405,-3.13110350652363,30.7933560458027,-22.5994115439365,2,1.0150723206857,4314.09050719281,7403.06887603957,-9.5,1
79,-2.813,-11.21,-6.63218756273639,-4.31753603285326,-10.5489034848302,2,1.11435647973879,5121.32690307909,7622.55905574627,-10.2,0
80,-3.317,-10.477,1.41114047096733,16.7073078750173,12.9864098629371,2,1.08939487250881,5092.1576814211,7723.33330945829,-9.3,0
81,-2.58,-10.938,0.691195791921081,5.01605777637914,2.34690730830836,2,0.905834082515499,4663.13502222462,8371.955302422,-9.9,0
83,-4.012,-9.33,-8.49631390935136,29.5965937211488,20.6089045556477,0,0.845036004259193,5307.78341238015,7715.60789020134,-9.8,1
84,-4.154,-9.427,3.50738014023794,-34.5978078971096,28.8750313184704,2,1.05592974010084,5129.25822547191,8078.26904008781,-9.7,1
85,-2.333,-9.52,6.21481917403741,20.5606526698183,-0.184413451958592,1,0.969528325031163,5131.48833365202,7351.8741455531,-7.8,0
86,-2.35,-10.179,12.136413128493,0.90631275145036,16.4041468355596,1,1.05826344496505,5443.30716788746,7711.08060135762,-9.7,0
87,-3.998,-9.598,3.33093998098546,34.7136497498812,16.4977475311749,2,1.18415989943082,5288.09127281423,8498.57985076278,-10.3,1
88,-3.951,-9.525,12.73406992732,-32.5212094686731,-16.6702797222304,2,0.978158366089948,5238.46490955394,10697.3036183716,-7.5,1
89,-3.943,-9.649,0.300390932854893,-26.7261875832614,-27.9991818241025,0,1.42604918100388,5495.5094456486,7048.51381355462,-7.2,1
90,-3.371,-11.647,3.07251252630157,-5.24794755846994,-6.48142269821324,1,1.06013968707881,4685.82904226988,7830.57948121261,-8.6,0
92,-2.607,-11.019,-6.48520853006601,-8.38599108085765,-13.6250844789577,2,1.06160258410475,5341.32689349788,6783.43549721115,-9.7,0
93,-2.434,-10.177,1.2797411535206,-23.1847049805127,-6.45203165350688,1,0.965201123595882,5475.20901290167,7751.87703550955,-11.3,0
94,-4.074,-9.761,3.47747154384493,-36.0349629170913,-16.991118515346,2,1.20784663427382,4945.09172208426,8310.50976081505,-10.6,1
95,-2.341,-10.503,-2.26818216926707,6.44318569487874,4.58256062855676,1,0.886816872305964,5028.30366208075,7984.16076184792,-10.2,0
